Business Name,Full Address,Phone Number,Website URL,Star Rating,Review Count,Business Category,Google Maps URL,Business Hours,Description,Scraped Date
Salar Jung Museum,"
Darulshifa, Hyderabad, Telangana 500002","
040 2457 6443",https://salarjungmuseum.in/,4.4,"(76,691)",Art museum,"https://www.google.com/maps/place/Salar+Jung+Museum/@17.3716084,78.1753733,11z/data=!4m10!1m2!2m1!1smuseums+hyderabad!3m6!1s0x3bcb9787e263d7bb:0x353b934b9b69a041!8m2!3d17.3716084!4d78.4802439!15sChFtdXNldW1zIGh5ZGVyYWJhZJIBCmFydF9tdXNldW2qAUYQASoLIgdtdXNldW1zKAAyHhABIhrOMF1LaXwOzGc3egS8H8BxRdlQWNpPQ4hhUTIVEAIiEW11c2V1bXMgaHlkZXJhYmFk4AEA!16zL20vMDNfMHZm?entry=ttu&g_ep=EgoyMDI2MDQyMS4wIKXMDSoASAFQAw%3D%3D",,,2026-04-24 11:52:57
Purani Haveli,"
Horticultural Department and Museum, H.E.H., Nizam Colony, Hyderabad, Telangana 500024","
1800 4254 6464",,4.4,(650),Museum,"https://www.google.com/maps/place/Purani+Haveli/@17.3716084,78.1753733,11z/data=!4m9!1m2!2m1!1smuseums+near+madhapur,+hyderabad!3m5!1s0x3bcb982415a1408b:0xb584bc0af5e47176!8m2!3d17.3666724!4d78.4828835!16zL20vMDczcjZ4?entry=ttu&g_ep=EgoyMDI2MDQyMS4wIKXMDSoASAFQAw%3D%3D",,,2026-04-24 11:53:19
